Node_ID,Node_Name,Arbol_1,Arbol_2,Arbol_3,Arbol_4,Arbol_5,Arbol_6,Arbol_7,Arbol_8
3616376,Lotame Data Selling Network - Location Hierarchy^Timezones^Africa^Mbabane,Lotame Data Selling Network - Location Hierarchy,Timezones,Africa,Mbabane,,,,
3616354,Lotame Data Selling Network - Location Hierarchy^Timezones^Africa^Bujumbura,Lotame Data Selling Network - Location Hierarchy,Timezones,Africa,Bujumbura,,,,
3616353,Lotame Data Selling Network - Location Hierarchy^Timezones^Africa^Brazzaville,Lotame Data Selling Network - Location Hierarchy,Timezones,Africa,Brazzaville,,,,
6000244,Lotame Anti-Fraud Hierarchy^Bot Traffic (For Exclusion)^Lotame Verified Bots,Lotame Anti-Fraud Hierarchy,Bot Traffic (For Exclusion),Lotame Verified Bots,,,,,
3616514,Lotame Data Selling Network - Location Hierarchy^Timezones^Europe^Vatican,Lotame Data Selling Network - Location Hierarchy,Timezones,Europe,Vatican,,,,
3616506,Lotame Data Selling Network - Location Hierarchy^Timezones^Europe^San Marino,Lotame Data Selling Network - Location Hierarchy,Timezones,Europe,San Marino,,,,
525394,Lotame Data Selling Network - Location Hierarchy^DMAs^Charlotte NC,Lotame Data Selling Network - Location Hierarchy,DMAs,Charlotte NC,,,,,
525482,Lotame Data Selling Network - Location Hierarchy^DMAs^Memphis TN,Lotame Data Selling Network - Location Hierarchy,DMAs,Memphis TN,,,,,
525384,Lotame Data Selling Network - Location Hierarchy^DMAs^Boston MA-Manchester NH,Lotame Data Selling Network - Location Hierarchy,DMAs,Boston MA-Manchester NH,,,,,
525439,Lotame Data Selling Network - Location Hierarchy^DMAs^Greensboro-High Point-Winston Salem NC,Lotame Data Selling Network - Location Hierarchy,DMAs,Greensboro-High Point-Winston Salem NC,,,,,
525412,Lotame Data Selling Network - Location Hierarchy^DMAs^Dayton OH,Lotame Data Selling Network - Location Hierarchy,DMAs,Dayton OH,,,,,
525430,Lotame Data Selling Network - Location Hierarchy^DMAs^Ft. Myers-Naples FL,Lotame Data Selling Network - Location Hierarchy,DMAs,Ft. Myers-Naples FL,,,,,
525568,Lotame Data Selling Network - Location Hierarchy^DMAs^Wilkes Barre-Scranton PA,Lotame Data Selling Network - Location Hierarchy,DMAs,Wilkes Barre-Scranton PA,,,,,
525538,Lotame Data Selling Network - Location Hierarchy^DMAs^South Bend-Elkhart IN,Lotame Data Selling Network - Location Hierarchy,DMAs,South Bend-Elkhart IN,,,,,
525405,Lotame Data Selling Network - Location Hierarchy^DMAs^Columbia-Jefferson City MO,Lotame Data Selling Network - Location Hierarchy,DMAs,Columbia-Jefferson City MO,,,,,
525461,Lotame Data Selling Network - Location Hierarchy^DMAs^Kansas City MO,Lotame Data Selling Network - Location Hierarchy,DMAs,Kansas City MO,,,,,
525450,Lotame Data Selling Network - Location Hierarchy^DMAs^Houston TX,Lotame Data Selling Network - Location Hierarchy,DMAs,Houston TX,,,,,
525410,Lotame Data Selling Network - Location Hierarchy^DMAs^Dallas-Ft. Worth TX,Lotame Data Selling Network - Location Hierarchy,DMAs,Dallas-Ft. Worth TX,,,,,
525558,Lotame Data Selling Network - Location Hierarchy^DMAs^Victoria TX,Lotame Data Selling Network - Location Hierarchy,DMAs,Victoria TX,,,,,
525381,Lotame Data Selling Network - Location Hierarchy^DMAs^Birmingham AL,Lotame Data Selling Network - Location Hierarchy,DMAs,Birmingham AL,,,,,
525503,Lotame Data Selling Network - Location Hierarchy^DMAs^Paducah KY-Cape Girardeau MO-Harrisburg-Mount,Lotame Data Selling Network - Location Hierarchy,DMAs,Paducah KY-Cape Girardeau MO-Harrisburg-Mount,,,,,
525371,Lotame Data Selling Network - Location Hierarchy^DMAs^Austin TX,Lotame Data Selling Network - Location Hierarchy,DMAs,Austin TX,,,,,
525528,Lotame Data Selling Network - Location Hierarchy^DMAs^San Antonio TX,Lotame Data Selling Network - Location Hierarchy,DMAs,San Antonio TX,,,,,
525500,Lotame Data Selling Network - Location Hierarchy^DMAs^Omaha NE,Lotame Data Selling Network - Location Hierarchy,DMAs,Omaha NE,,,,,
525493,Lotame Data Selling Network - Location Hierarchy^DMAs^Nashville TN,Lotame Data Selling Network - Location Hierarchy,DMAs,Nashville TN,,,,,
525554,Lotame Data Selling Network - Location Hierarchy^DMAs^Tulsa OK,Lotame Data Selling Network - Location Hierarchy,DMAs,Tulsa OK,,,,,
525507,Lotame Data Selling Network - Location Hierarchy^DMAs^Peoria-Bloomington IL,Lotame Data Selling Network - Location Hierarchy,DMAs,Peoria-Bloomington IL,,,,,
525418,Lotame Data Selling Network - Location Hierarchy^DMAs^Duluth MN-Superior WI,Lotame Data Selling Network - Location Hierarchy,DMAs,Duluth MN-Superior WI,,,,,
525567,Lotame Data Selling Network - Location Hierarchy^DMAs^Wichita-Hutchinson KS,Lotame Data Selling Network - Location Hierarchy,DMAs,Wichita-Hutchinson KS,,,,,
525489,Lotame Data Selling Network - Location Hierarchy^DMAs^Mobile AL-Pensacola (Ft. Walton Beach) FL,Lotame Data Selling Network - Location Hierarchy,DMAs,Mobile AL-Pensacola (Ft. Walton Beach) FL,,,,,
525376,Lotame Data Selling Network - Location Hierarchy^DMAs^Beaumont-Port Arthur TX,Lotame Data Selling Network - Location Hierarchy,DMAs,Beaumont-Port Arthur TX,,,,,
