Node_ID,Node_Name,Arbol_1,Arbol_2,Arbol_3,Arbol_4,Arbol_5,Arbol_6,Arbol_7,Arbol_8,ShortName_General,ShortName_Specific,NEWID
838610,*Lotame Shopping & Retail^Past Purchases^Retail^Toys Games & Hobbies^Hobby Supplies^Needlework,*Lotame Shopping & Retail,Past Purchases,Retail,Toys Games & Hobbies,Hobby Supplies,Needlework,,,Past Purchases,Toys Games & Hobbies,838610
838609,*Lotame Shopping & Retail^Past Purchases^Retail^Electronics^GPS Devices,*Lotame Shopping & Retail,Past Purchases,Retail,Electronics,GPS Devices,,,,Past Purchases,Electronics,838609
838608,*Lotame Shopping & Retail^Past Purchases^Services^Internet Service Provider (ISP)^Connection Type^Cable,*Lotame Shopping & Retail,Past Purchases,Services,Internet Service Provider (ISP),Connection Type,Cable,,,Past Purchases,Internet Service Provider (ISP),838497
838607,*Lotame Shopping & Retail^Past Purchases^Retail^Automotive Parts & Accessories^ATV Parts,*Lotame Shopping & Retail,Past Purchases,Retail,Automotive Parts & Accessories,ATV Parts,,,,Past Purchases,Automotive Parts & Accessories,838517
838606,*Lotame Shopping & Retail^Past Purchases^Auto^Make^Hyundai,*Lotame Shopping & Retail,Past Purchases,Auto,Make,Hyundai,,,,Past Purchases,Auto,838606
838605,*Lotame Shopping & Retail^Past Purchases^Retail^Home & Garden^Inside the Home^Decor,*Lotame Shopping & Retail,Past Purchases,Retail,Home & Garden,Inside the Home,Decor,,,Past Purchases,Home & Garden,838483
838604,*Lotame Shopping & Retail^Past Purchases^Financial Products & Services^Insurance,*Lotame Shopping & Retail,Past Purchases,Financial Products & Services,Insurance,,,,,Past Purchases,Insurance,838604
838603,*Lotame Shopping & Retail^Past Purchases^Retail^Entertainment^Media^DVDs,*Lotame Shopping & Retail,Past Purchases,Retail,Entertainment,Media,DVDs,,,Past Purchases,Entertainment,838603
838602,*Lotame Shopping & Retail^Past Purchases^Retail^Collectibles^Furniture & Home Decor,*Lotame Shopping & Retail,Past Purchases,Retail,Collectibles,Furniture & Home Decor,,,,Past Purchases,Collectibles,838564
838601,*Lotame Shopping & Retail^Past Purchases^Retail^Electronics^Audio^Home,*Lotame Shopping & Retail,Past Purchases,Retail,Electronics,Audio,Home,,,Past Purchases,Electronics,838601
838600,*Lotame Shopping & Retail^Past Purchases^Retail^Home & Garden^Yard Garden & Outdoor Living^Gardening,*Lotame Shopping & Retail,Past Purchases,Retail,Home & Garden,Yard Garden & Outdoor Living,Gardening,,,Past Purchases,Home & Garden,838483
838599,*Lotame Shopping & Retail^Past Purchases^Retail^Toys Games & Hobbies^Models^Aircraft^Motorized,*Lotame Shopping & Retail,Past Purchases,Retail,Toys Games & Hobbies,Models,Aircraft,Motorized,,Past Purchases,Toys Games & Hobbies,838599
838598,*Lotame Shopping & Retail^Past Purchases^Retail^Toys Games & Hobbies^Models^Aircraft,*Lotame Shopping & Retail,Past Purchases,Retail,Toys Games & Hobbies,Models,Aircraft,,,Past Purchases,Toys Games & Hobbies,838598
838597,*Lotame Shopping & Retail^Past Purchases^Other Vehicles^RVs Campers & Trailers,*Lotame Shopping & Retail,Past Purchases,Other Vehicles,RVs Campers & Trailers,,,,,Past Purchases,RVs Campers & Trailers,838597
838596,*Lotame Shopping & Retail^Past Purchases^Auto^Make^Saturn,*Lotame Shopping & Retail,Past Purchases,Auto,Make,Saturn,,,,Past Purchases,Make,838596
838595,*Lotame Shopping & Retail^Past Purchases^Retail^Sports Equipment & Outdoor Gear^Activities^Outdoor Activities^Camping Hiking & Backpacking,*Lotame Shopping & Retail,Past Purchases,Retail,Sports Equipment & Outdoor Gear,Activities,Outdoor Activities,Camping Hiking & Backpacking,,Past Purchases,Sports Equipment & Outdoor Gear,838510
838594,*Lotame Shopping & Retail^Past Purchases^Auto^Make^Toyota,*Lotame Shopping & Retail,Past Purchases,Auto,Make,Toyota,,,,Past Purchases,Auto,838594
838593,*Lotame Shopping & Retail^Past Purchases^Retail^Home & Garden^Inside the Home^Decor Photo Frames,*Lotame Shopping & Retail,Past Purchases,Retail,Home & Garden,Inside the Home,Decor Photo Frames,,,Past Purchases,Home & Garden,838483
838592,*Lotame Shopping & Retail^Past Purchases^Services^Internet Service Provider (ISP)^Network^AT&T Wireless,*Lotame Shopping & Retail,Past Purchases,Services,Internet Service Provider (ISP),Network,AT&T Wireless,,,Past Purchases,Internet Service Provider (ISP),838497
838591,*Lotame Shopping & Retail^Past Purchases^Retail^Computers^Brands^Asus,*Lotame Shopping & Retail,Past Purchases,Retail,Computers,Brands,Asus,,,Past Purchases,Computers,838591
838590,*Lotame Shopping & Retail^Past Purchases^Services^Internet Service Provider (ISP)^Network^Qwest,*Lotame Shopping & Retail,Past Purchases,Services,Internet Service Provider (ISP),Network,Qwest,,,Past Purchases,Internet Service Provider (ISP),838497
838589,*Lotame Shopping & Retail^Past Purchases^Retail^Office Furniture & Supplies^Printer Supplies,*Lotame Shopping & Retail,Past Purchases,Retail,Office Furniture & Supplies,Printer Supplies,,,,Past Purchases,Office Furniture & Supplies,838588
838588,*Lotame Shopping & Retail^Past Purchases^Retail^Office Furniture & Supplies,*Lotame Shopping & Retail,Past Purchases,Retail,Office Furniture & Supplies,,,,,Past Purchases,Office Furniture & Supplies,838588
838587,*Lotame Shopping & Retail^Past Purchases^Retail^Electronics^Audio,*Lotame Shopping & Retail,Past Purchases,Retail,Electronics,Audio,,,,Past Purchases,Electronics,838587
838586,*Lotame Shopping & Retail^Past Purchases^Auto^Make^Mini,*Lotame Shopping & Retail,Past Purchases,Auto,Make,Mini,,,,Past Purchases,Auto,838586
838585,*Lotame Shopping & Retail^Past Purchases^Auto^Body Style^Minivan,*Lotame Shopping & Retail,Past Purchases,Auto,Body Style,Minivan,,,,Past Purchases,Body Style,838585
838584,*Lotame Shopping & Retail^Past Purchases^Retail^Computers^Brands^eMachines,*Lotame Shopping & Retail,Past Purchases,Retail,Computers,Brands,eMachines,,,Past Purchases,Computers,838584
838583,*Lotame Shopping & Retail^Past Purchases^Auto^Body Style^Luxury Sedan,*Lotame Shopping & Retail,Past Purchases,Auto,Body Style,Luxury Sedan,,,,Past Purchases,Body Style,838583
838582,*Lotame Shopping & Retail^Past Purchases^Services^Internet Service Provider (ISP)^Network^Speakeasy,*Lotame Shopping & Retail,Past Purchases,Services,Internet Service Provider (ISP),Network,Speakeasy,,,Past Purchases,Internet Service Provider (ISP),838497
838581,*Lotame Shopping & Retail^Past Purchases^Retail^Toys Games & Hobbies^Models^Automotive^Motorized^R/C Cars,*Lotame Shopping & Retail,Past Purchases,Retail,Toys Games & Hobbies,Models,Automotive,Motorized,R/C Cars,Past Purchases,Toys Games & Hobbies,838581
838580,*Lotame Shopping & Retail^Past Purchases^Retail^Toys Games & Hobbies^Models^Automotive^Motorized,*Lotame Shopping & Retail,Past Purchases,Retail,Toys Games & Hobbies,Models,Automotive,Motorized,,Past Purchases,Toys Games & Hobbies,838580
838579,*Lotame Shopping & Retail^Past Purchases^Retail^Toys Games & Hobbies^Models^Automotive,*Lotame Shopping & Retail,Past Purchases,Retail,Toys Games & Hobbies,Models,Automotive,,,Past Purchases,Toys Games & Hobbies,838579
838578,*Lotame Shopping & Retail^Past Purchases^Retail^Toys Games & Hobbies^Hobby Supplies^Metalwork,*Lotame Shopping & Retail,Past Purchases,Retail,Toys Games & Hobbies,Hobby Supplies,Metalwork,,,Past Purchases,Toys Games & Hobbies,838578
838577,*Lotame Shopping & Retail^Past Purchases^Retail^Clothing Shoes & Accessories^Bags Jewelry & Accessories^Jewelry & Watches^Womens,*Lotame Shopping & Retail,Past Purchases,Retail,Clothing Shoes & Accessories,Bags Jewelry & Accessories,Jewelry & Watches,Womens,,Past Purchases,Clothing Shoes & Accessories,838501
838576,*Lotame Shopping & Retail^Past Purchases^Auto^Body Style^Cross Over Vehicle,*Lotame Shopping & Retail,Past Purchases,Auto,Body Style,Cross Over Vehicle,,,,Past Purchases,Body Style,838576
838575,*Lotame Shopping & Retail^Past Purchases^Retail^Musical Instruments & Accessories^Guitars,*Lotame Shopping & Retail,Past Purchases,Retail,Musical Instruments & Accessories,Guitars,,,,Past Purchases,Musical Instruments & Accessories,838488
838574,*Lotame Shopping & Retail^Past Purchases^Retail^Toys Games & Hobbies^Models^Nautical,*Lotame Shopping & Retail,Past Purchases,Retail,Toys Games & Hobbies,Models,Nautical,,,Past Purchases,Toys Games & Hobbies,838574
838573,*Lotame Shopping & Retail^Past Purchases^Retail^Toys Games & Hobbies^Models,*Lotame Shopping & Retail,Past Purchases,Retail,Toys Games & Hobbies,Models,,,,Past Purchases,Toys Games & Hobbies,838573
838572,*Lotame Shopping & Retail^Past Purchases^Education,*Lotame Shopping & Retail,Past Purchases,Education,,,,,,Past Purchases,Education,838572
